intent,response,intent_special_chars,response_special_chars
Fever Home Remedies,"Take 5 grams of coriander seeds (Dhaniyalu), 3 grams of cumin seeds (Jeelakarra), and 5 grams of ginger, and lightly crush them. Add this mixture to a glass of boiling water and let it simmer until the liquid reduces to one-fourth of its original quantity. Strain the decoction and drink it warm to help reduce fever and chills if your symptoms getting worse please consult your doctor",['_'],"['(', ')', '(', ')']"
Other Diarrhea Symptoms,"I Cannot determine other diarrhea-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance.","['_', '_']",[]
Vomitings Home Remedies,"Take equal amounts of ginger and onion, grind them into a paste, and filter it to extract the liquid. Consume this liquid every 2 hours and observe the result.",['_'],[]
Other Cough Symptoms,"Cough can present with various symptoms depending on the underlying cause,I can't trigger symptoms what exactly you have so please consult the doctor for further treatment","['_', '_']",[]
Confirm Dry Cough,"Dry cough, also known as a non-productive cough, is a common respiratory symptom that can be caused by various factors such as viral infections, allergies, environmental irritants, asthma, gastroesophageal diseases, and respiratory tract infections so please consult your doctor and poceed based on your symptoms","['_', '_']",[]
BP symptom check,choose which type of symptom most relevent to you for bp,"['_', '_']",[]
Stress Remedies,Please let me know which type of remedies do you want?,['_'],[]
Other Fever Symptoms,If you feel like some other symptoms with fever or any difficulty in your symptoms please consult your physician,"['_', '_']",[]
Cough,Which type of services do you want for Cough?,[],[]
Cough Medication,"MONADRYL cough syrup (Diphenhydramine Hydrochloride, Ammonium Chloride , Sodium Chloride, Sodium Citrate & Menthol Syrup) dose-200mg 100ml cause-this Syrup helps to loosen thick mucus and reduces its stickiness, making it easier to cough out. This makes it easier for air to move in and out. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily.",['_'],"['(', '&', ')']"
acknowledge,"Thank you for visiting our medibot! I’m here to assist you with  remedies, and symptom checks,Diet,physical activities, Let me know how I can help!",[],"['’', '""']"
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
Cold  Remedies,Let me  know which type of remedies do you want?,['_'],[]
Headache,let me know which type of services do you want?,[],[]
Fever remedies,may i know which type of remedies do you want,['_'],[]
Confirm Loose Motions,This seems like loose motions symptoms i suggest you to please consult your doctor or if you want any remedies please check with me,"['_', '_']",[]
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Cough,Which type of services do you want for Cough?,[],[]
Confirm Common Fever,"Fever is usually a sign that your body is fighting an infection, If the fever persists for more than 3 days or is very high, consult a doctor. Let me know if you need home remedies or care tips!","['_', '_']","['""']"
Confirm Loose Motions,This seems like loose motions symptoms i suggest you to please consult your doctor or if you want any remedies please check with me,"['_', '_']",[]
BP yoga,Practice Sasankasana and Sheetkari Pranayama (Cooling Pranayama) to help manage blood pressure.,['_'],"['(', ')']"
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Confirm Cluster Headache,"Cluster headaches are extremely painful headaches that occur in cycles, usually affecting one side of the head, often around the eye,To manage symptoms, maintain a consistent sleep schedule, avoid known triggers, and practice relaxation techniques. If episodes are frequent or severe, consult a doctor for medical treatment.","['_', '_']",[]
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
BP,Let me know which type of services do you want for BP?,[],[]
Hairfall Naturopathy Remedies,"Take Drumstick leaves 2 cups,half cup curd,1/3cup amla powder make whole as paste and apply to your scalp and let it be half an hour and dhead bath,do this twice a week  which helps for mosturizing your scalp",['_'],['/']
Cough,Which type of services do you want for Cough?,[],[]
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
heatwaves,let me know which type of services do you want for heatwaves?,[],[]
Other Cold Symptoms,"I'm here to provide general information, but I can't diagnose specific conditions or confirm if your symptoms indicate something more serious. If you're experiencing severe symptoms , or prolonged illness, it's best to consult a doctor for proper evaluation and treatment.","['_', '_']","['""']"
Stress yoga,"Chandra Bhedana Pranayama – This practice stimulates the parasympathetic nervous system, helping to relax both the brain and body, promoting a sense of calmness.

Chandra Nadi Pranayama – A cooling and soothing breathing technique that helps balance emotions and reduces stress.

Bhramari Pranayama – Encourages positive thinking by stimulating the amygdala and relaxing the hypothalamus, which helps in emotional regulation and mental calmness.

Sheetali Pranayama – Lowers core body temperature, providing a cooling effect that leaves the body feeling refreshed and relaxed.",['_'],"['–', '–', '–', '–']"
Stress yoga,"Chandra Bhedana Pranayama – This practice stimulates the parasympathetic nervous system, helping to relax both the brain and body, promoting a sense of calmness.

Chandra Nadi Pranayama – A cooling and soothing breathing technique that helps balance emotions and reduces stress.

Bhramari Pranayama – Encourages positive thinking by stimulating the amygdala and relaxing the hypothalamus, which helps in emotional regulation and mental calmness.

Sheetali Pranayama – Lowers core body temperature, providing a cooling effect that leaves the body feeling refreshed and relaxed.",['_'],"['–', '–', '–', '–']"
Other illeness Piles,lemon with milk immediate consumption  can helps for piles,"['_', '_']",[]
Default Welcome Intent,Good day! What can I do for you today?,[],[]
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Hairfall,Which type of services do you want for Hairfall?,[],[]
Diarrhea Home Remedies,"Take a pinch of sunnam (lime powder) and half a teaspoon of cumin seeds (jelakarra).Crush them together in your hand,Consume the mixture.After that, drink some warm water for gum motions",['_'],"['(', ')', '(', ')']"
Cough Naturopathy Remedies,"Chew a neem stick and spit it out. The bitterness helps reduce toxins and keeps your mouth fresh. Additionally, do facial steam inhalation by adding turmeric to the water for better respiratory health and a refreshing effect.",['_'],[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Cough Symptom Check,please check which type of symptoms do you have,"['_', '_']",[]
heatwaves Remedies,please tell me which type of remedies do you want?,['_'],[]
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
Constipation Naturopathy Remedies,"waking up early in the morning, drink two glasses of warm water that was stored in a copper vessel the previous day while sitting in a malasana position. Then, eat a pinch of ginger sprinkled with rock salt.",['_'],[]
Hairfall Home Remedies,"Take onion paste and apply it to your scalp. Let it dry for half an hour, then take a head bath. This helps with hair growth, reduces hair fall, and improves blood circulation to the scalp",['_'],[]
heatwaves Ayurvedic Remedies,"Take equal amounts of Tippatiga (Balloon Vine) dried leaves, Usori Gavaravu (Gooseberry), and Parpatakam (Fumaria Indica) and grind them into a fine powder. Take 20 to 30 grams of this powder and add it to 4 glasses of water. Boil the mixture until it reduces to 1 glass,For best results, consume 2 to 3 tablespoons of the warm decoction morning and evening.",['_'],"['(', ')', '(', ')', '(', ')']"
Cough Ayurvedic Remedies,"Chew and eat garlic, as it has antibacterial and antiviral properties. Additionally, take some turmeric with honey to soothe the throat and reduce irritation.

Another effective remedy: To take Karakkaya (Haritaki) powder, add it to boiling water, and let it steep. Pour it into a glass, add some honey, and drink it twice a day for best results.",['_'],"[':', '(', ')']"
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Confirm Low BP,"Your symptoms suggest low blood pressure. While I can provide basic information, a medical professional is best suited to assess your condition. Please consider seeking medical advice from a doctor for appropriate care.","['_', '_']",[]
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Other Heat Waves Symptoms,"In addition to common heat wave symptoms, other signs to feel,please consult doctor immediately","['_', '_', '_']","['""']"
Confirm common Cold,"It looks like you may have common cold symptoms (caused by the Rhinovirus), which can result from allergies, infections, low immunity, or exposure to infected individuals. If you’d like, I can suggest remedies, diet tips, and activities to help manage your symptoms. For further evaluation, please consult a doctor.","['_', '_']","['(', ')', '’', '""']"
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Vomitings Naturopathy Remedies,"Take warm water mixed with salt and drink it quickly until your stomach feels full. This will induce vomiting within minutes, helping to relieve discomfort.",['_'],"['""', '""']"
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Diarrhea,which type of services do you want for Diarrhea?,[],[]
Diarrhea Medication,"LOPAMIDE (Lopamide hydrochloride tablets I.P.)  Dose-2mg cause-Lopamide Tablet is an anti-diarrhoeal medication. It works by slowing down the contraction of the intestines thereby decreasing the speed at which the contents pass through it. This allows more time for reabsorption of fluids and nutrients, making the stools more solid and less frequent.",['_'],"['(', ')']"
Vomitings,please let me know which type of services do you want?,[],[]
Vomitings Naturopathy Remedies,"Take warm water mixed with salt and drink it quickly until your stomach feels full. This will induce vomiting within minutes, helping to relieve discomfort.",['_'],"['""', '""']"
Headache,let me know which type of services do you want?,[],[]
Constipation Home Remedies,"Take 5 grams of ginger and 5 grams of jaggery, grind them well, and eat this at night and drink some water which helps for constipation problem",['_'],[]
Confirm Motion Sickness,"Motion sickness occurs when there is a disconnect between what your eyes see and what your inner ear senses during movement, such as in a car, boat, or airplane,To prevent it, focus on a fixed point, avoid reading while traveling, stay hydrated, and take deep breaths. take consult rom medical practitioner and do accordingly","['_', '_']","['""']"
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
Other illeness Fits,coriander leaves or powder with hot water can helps for fits patient,"['_', '_']",[]
Hairfall,Which type of services do you want for Hairfall?,[],[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
Fever Naturopathy Remedies,"sleep with an cotton cloth which covers your body on an plain and even bed with a bedsheet on it and now cover your body with wet bead sheet and sleep for few minutes,this even helpful for your high temperature,even though you are repeating with your symptoms please consult your physician",['_'],[]
Cough Medication,"MONADRYL cough syrup (Diphenhydramine Hydrochloride, Ammonium Chloride , Sodium Chloride, Sodium Citrate & Menthol Syrup) dose-200mg 100ml cause-this Syrup helps to loosen thick mucus and reduces its stickiness, making it easier to cough out. This makes it easier for air to move in and out. It will also relieve allergy symptoms like watery eyes, sneezing, runny nose or throat irritation and help you carry out your daily activities more easily.",['_'],"['(', '&', ')']"
Fever,which type of service do you need for fever?,[],[]
heatwaves Home Remedies,"1.glass of  buttermilk,A pinch of salt,1 teaspoon of sugar A few drops of lemon juice mix well which helps for  Preventing dehydration Soothes the stomach and  Balances electrolytes in body                                                                            
                                                                         2    

Take fresh ash gourd, cut it into pieces, and grind well to extract the juice. Filter it and take 15 to 20 ml of the juice, adding a little sugar for taste. Consume this 3 to 4 times a day to keep the body hydrated and protect against heat waves.",['_'],[]
Welocme Intent,"Welcome to our MedicalBot, these are the service available in this bot.",['_'],[]
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
BP Ayurvedic Remedies,"Add garlic to your diet to help reduce high blood pressure. Fenugreek contains calcium, fiber, and helps reduce bad cholesterol. Dark chocolate also helps reduce hypertension. Eat bananas for a good potassium intake, which helps lower blood pressure",['_'],[]
Confirm common Cold,"It looks like you may have common cold symptoms (caused by the Rhinovirus), which can result from allergies, infections, low immunity, or exposure to infected individuals. If you’d like, I can suggest remedies, diet tips, and activities to help manage your symptoms. For further evaluation, please consult a doctor.","['_', '_']","['(', ')', '’', '""']"
Other BP Symptoms,"I understand that you're experiencing other BP symptoms. Since this bot is limited in providing medical diagnoses, I highly recommend consulting a qualified doctor for proper evaluation and treatment","['_', '_']",[]
Other Heat Waves Symptoms,"In addition to common heat wave symptoms, other signs to feel,please consult doctor immediately","['_', '_', '_']","['""']"
Cold Home Remedies,"1.Take a handful of sugar and heat it over a flame until it produces smoke. Close your eyes and inhale the smoke gently through your nose for relief.

2.Additionally, drinking warm milk with turmeric is beneficial. Lack of sleep can weaken immunity, so consuming honey and lemon juice can help. Drinking ginger tea is also a great remedy for boosting immunity and overall health.",['_'],[]
Hairfall Diet,"Eat iron rich foods like apricots,luttuce,eat more biotin rich foods like mushrooms 100 grams,panneer,flake seeds and leafy vegies like spring onions menthi, sunflower seeds non vegetarian food like liver,egg",['_'],[]
Vomitings Medication,"Domperidone tablets I.P.   Dose-10mg Cause-Domperidone  10 MG Tablet is an effective anti-emetic medicine used to relieve nausea and vomiting caused by delayed gastric emptying (the time it takes for food to empty from the stomach and enter the small intestine). It increases intestinal movements and facilitates the emptying of the bowel. It is used alone or in combination with other medicines for relieving nausea, vomiting and indigestion   2.Domperidone syrup - Helps with nausea and vomiting caused by delayed stomach emptying.",['_'],"['(', ')']"
Cough Remedies,Please let me know which type of remedies do you want?,['_'],[]
Confirm Dengue,"This symptoms looks like dengue fever,Dengue fever is a viral infection transmitted by mosquitoes,I it is very important to consult your doctor for good treatment",['_'],[]
Cold  Remedies,Let me  know which type of remedies do you want?,['_'],[]
Stress,let me know which type of services do you want?,[],[]
Vomitings Medication,"Domperidone tablets I.P.   Dose-10mg Cause-Domperidone  10 MG Tablet is an effective anti-emetic medicine used to relieve nausea and vomiting caused by delayed gastric emptying (the time it takes for food to empty from the stomach and enter the small intestine). It increases intestinal movements and facilitates the emptying of the bowel. It is used alone or in combination with other medicines for relieving nausea, vomiting and indigestion   2.Domperidone syrup - Helps with nausea and vomiting caused by delayed stomach emptying.",['_'],"['(', ')']"
Hairfall Diet,"Eat iron rich foods like apricots,luttuce,eat more biotin rich foods like mushrooms 100 grams,panneer,flake seeds and leafy vegies like spring onions menthi, sunflower seeds non vegetarian food like liver,egg",['_'],[]
Other illeness Fits,coriander leaves or powder with hot water can helps for fits patient,"['_', '_']",[]
Cold Symptom Check,could you please tell me which type of cold symptoms do you have?,"['_', '_']",[]
Other BP Symptoms,"I understand that you're experiencing other BP symptoms. Since this bot is limited in providing medical diagnoses, I highly recommend consulting a qualified doctor for proper evaluation and treatment","['_', '_']",[]
Welocme Intent,"Welcome to our MedicalBot, these are the service available in this bot.",['_'],[]
Confirm High BP,"It looks like you're experiencing symptoms of high blood pressure. While this bot can provide general guidance, it’s important to consult a healthcare professional for an accurate diagnosis and proper treatment. Please reach out to your doctor as soon as possible.","['_', '_']",['’']
Hairfall Remedies,Please let me know which type of remedies do you want?,['_'],[]
Constipation Yoga,"It is good to practice Malasana, as it provides multiple health benefits, including improved digestion, flexibility, and better blood circulation",['_'],[]
Confirm Migraine,"Migraine is a neurological condition that causes intense headaches,To manage migraines, rest in a dark and quiet place, stay hydrated, and try relaxation techniques. If migraines occur frequently or are severe, consult a doctor for proper treatment.",['_'],[]
Confirm Common Constipation,"I can't determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Confirm Food Poisoning,"Food poisoning occurs when contaminated food or water causes infection in the digestive system,If symptoms are severe seek medical attention","['_', '_']",[]
Constipation Diet,"Fiber supports the microbiome :the healthy balance of bacteria in the digestive track so,eat fiber rich foods like apple,banana,greenleafy vegetables,whole grains cooked vegetables, aslo eat curd rice which contains good bacteria like Lactobacillus which supports gut health",['_'],[':']
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
Cold Naturopathy Remedies,"Apply one drop of peppermint oil on each side of your nose. You can also use scented lemon or eucalyptus oils, or place one drop of honey in your nose. After 4 to 5 minutes, your cold will be relieved.",['_'],[]
BP Naturopathy Remedies,Take curry leaves powder and mix it with water. Drink twice a day which helps controlling High BP,['_'],[]
Confirm Tension Headache,"Tension headaches are the most common type of headache,To relieve it, try relaxation techniques, stay hydrated, get enough rest, and avoid stress triggers. If headaches persist frequently, consult a doctor","['_', '_']",[]
Stress Remedies,Please let me know which type of remedies do you want?,['_'],[]
Cold Diet,"Make sure to maintain good water intake and consume fluids like buttermilk and soups. Also, add fruits and vegetables such as broccoli, cranberries, and blueberries, along with green tea and red onions, to support your overall health.",['_'],[]
Headache,let me know which type of services do you want?,[],[]
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
BP medication,"CARDIGLOW-H40(Telmisartan and Hydrochlorothiazide Tablets IP) dose-40mg, Cause-  used to treat high blood pressure (hypertension).please check the medicine while using and consult your doctor",['_'],"['(', ')', '(', ')']"
Confirm Loose Motions,This seems like loose motions symptoms i suggest you to please consult your doctor or if you want any remedies please check with me,"['_', '_']",[]
Cough,Which type of services do you want for Cough?,[],[]
Other Headache Symptoms,"Headaches can come with various symptoms depending on the type and cause,so if you feel any of other symptoms consult physician","['_', '_']",[]
Other Fever Symptoms,If you feel like some other symptoms with fever or any difficulty in your symptoms please consult your physician,"['_', '_']",[]
Constipation Remedies,Let me know which type of remedies do you want?,['_'],[]
