intent,response,intent_special_chars,response_special_chars
Diarrhea,which type of services do you want for Diarrhea?,[],[]
Diarrhea Ayurvedic Remedies,"karakkaya(Haritaki),Thanikaya(Bibhitaki),Amla(Bibhitaki),kaachu(chandr chakra saaram) take all these into powder as 5grams and mix it with butter milk and drink this can help for loose,motions gum motions, and blood motions",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Diarrhea Diet,"while you are suffering with loose motions it is good to keep body more hydrated so that drink water eventually with gaps low consumption, drink coconut water with which contains electrolytes some pleople want more so add electral  powder to it and drink and for solid food eat curd rice",['_'],[]
Diarrhea Home Remedies,"Take a pinch of sunnam (lime powder) and half a teaspoon of cumin seeds (jelakarra).Crush them together in your hand,Consume the mixture.After that, drink some warm water for gum motions",['_'],"['(', ')', '(', ')']"
Diarrhea Medication,"LOPAMIDE (Lopamide hydrochloride tablets I.P.)  Dose-2mg cause-Lopamide Tablet is an anti-diarrhoeal medication. It works by slowing down the contraction of the intestines thereby decreasing the speed at which the contents pass through it. This allows more time for reabsorption of fluids and nutrients, making the stools more solid and less frequent.",['_'],"['(', ')']"
Diarrhea Naturopathy Remedies,"Grind tender pomegranate fruit or pomegranate flowers into a smooth paste. Add a pinch of edible camphor(pacha karpooram) to this paste, Form small balls(small size soap nut) from the mixture. Consuming these balls with buttermilk can help relieve diarrhea                                                                                                                       please do check the goodness in your body after taking this or if you feel any dis comfort please consult your doctor",['_'],"['(', ')', '(', ')']"
Diarrhea Remedies,Please let me know which type of remedies do you want?,['_'],[]
Diarrhea Symptom Check,please check your symptoms do you have related to diarrhea,"['_', '_']",[]
Fever,which type of service do you need for fever?,[],[]
Fever Diet,"the foods recomended for fever includes fresh fruits,cooked vegetables,soups(mixed vegetables),coconut water because it is more important to keep your body more hyderated as well some probiotics for good gut health",['_'],"['(', ')']"
Fever Home Remedies,"Take 5 grams of coriander seeds (Dhaniyalu), 3 grams of cumin seeds (Jeelakarra), and 5 grams of ginger, and lightly crush them. Add this mixture to a glass of boiling water and let it simmer until the liquid reduces to one-fourth of its original quantity. Strain the decoction and drink it warm to help reduce fever and chills if your symptoms getting worse please consult your doctor",['_'],"['(', ')', '(', ')']"
Fever Naturopathy Remedies,"sleep with an cotton cloth which covers your body on an plain and even bed with a bedsheet on it and now cover your body with wet bead sheet and sleep for few minutes,this even helpful for your high temperature,even though you are repeating with your symptoms please consult your physician",['_'],[]
Fever remedies,may i know which type of remedies do you want,['_'],[]
Fever Symptom Check,please choose the fever symptoms most relevant to you,"['_', '_']",[]
Hairfall,Which type of services do you want for Hairfall?,[],[]
Hairfall Ayurvedi Remedie,"Take 1 cup of coconut milk, apply it to your scalp and all your hair, then cover your scalp with a warm towel. Wash it off. This should be done after a head bath",['_'],[]
Hairfall Diet,"Eat iron rich foods like apricots,luttuce,eat more biotin rich foods like mushrooms 100 grams,panneer,flake seeds and leafy vegies like spring onions menthi, sunflower seeds non vegetarian food like liver,egg",['_'],[]
Hairfall Home Remedies,"Take onion paste and apply it to your scalp. Let it dry for half an hour, then take a head bath. This helps with hair growth, reduces hair fall, and improves blood circulation to the scalp",['_'],[]
Hairfall Naturopathy Remedies,"Take Drumstick leaves 2 cups,half cup curd,1/3cup amla powder make whole as paste and apply to your scalp and let it be half an hour and dhead bath,do this twice a week  which helps for mosturizing your scalp",['_'],['/']
Hairfall Remedies,Please let me know which type of remedies do you want?,['_'],[]
Hairfall Remedies,Please choose which type of remedy you prefer?,['_'],[]
Hairfall Yoga,"Adho Mukha Svanasana (Downward-Facing Dog), Uttanasana (Standing Forward Bend), Vajrasana (Diamond Pose), and Balayam yoga (rubbing fingernails) please do asanas by practice",['_'],"['(', ')', '(', ')', '(', ')', '(', ')']"
Headache  Ayurvedic Remedies,Take a handful of coriander seeds (dhaniyalu) and mix them with a little water to make a thick paste. Apply this paste to the affected area (maadu),['_'],"['(', ')', '(', ')']"
Headache,let me know which type of services do you want?,[],[]
Headache Diet,"1.Increase water intake to 4 to 5 liters per day to help keep your body cool.
                                                         2.
Drinking enough water supports regular bowel movements (twice a day), helping to cleanse your stomach.
                                                          3.
Maintain a 2-hour gap between drinking water and meals for better digestion.
                                                            4.
Include fresh fruits in your diet for breakfast and in the evening.
                                                             5.
Take regular head baths to stay refreshed.
                                                         6.
Avoid coffee and tea for better health",['_'],"['(', ')']"
Headache Naturopathy Remedies,drink more water which is up to 4 to 5 liters to get your body cool and some electrolytes like coconut water,['_'],[]
Headache Remedies,let me know which type of remedies do you want?,['_'],[]
Headache Symptom check,please check your head ache symptoms,"['_', '_']",[]
heatwaves,let me know which type of services do you want for heatwaves?,[],[]
heatwaves Ayurvedic Remedies,"Take equal amounts of Tippatiga (Balloon Vine) dried leaves, Usori Gavaravu (Gooseberry), and Parpatakam (Fumaria Indica) and grind them into a fine powder. Take 20 to 30 grams of this powder and add it to 4 glasses of water. Boil the mixture until it reduces to 1 glass,For best results, consume 2 to 3 tablespoons of the warm decoction morning and evening.",['_'],"['(', ')', '(', ')', '(', ')']"
heatwaves Diets,"Drink more water stored in a mud pot, as it has a natural cooling effect. Consume juices made from seasonal fruits. Eat curd rice and drink buttermilk, which are rich in probiotics. Include fruits like muskmelon and watermelon in your diet. Also, eat sabudana (sago) for better digestion and energy",['_'],"['(', ')']"
heatwaves Home Remedies,"1.glass of  buttermilk,A pinch of salt,1 teaspoon of sugar A few drops of lemon juice mix well which helps for  Preventing dehydration Soothes the stomach and  Balances electrolytes in body                                                                            
                                                                         2    

Take fresh ash gourd, cut it into pieces, and grind well to extract the juice. Filter it and take 15 to 20 ml of the juice, adding a little sugar for taste. Consume this 3 to 4 times a day to keep the body hydrated and protect against heat waves.",['_'],[]
heatwaves Remedies,please tell me which type of remedies do you want?,['_'],[]
heatwaves Symptom Check,please check your symptoms,"['_', '_']",[]
Other BP Symptoms,"I understand that you're experiencing other BP symptoms. Since this bot is limited in providing medical diagnoses, I highly recommend consulting a qualified doctor for proper evaluation and treatment","['_', '_']",[]
Other Cold Symptoms,"I'm here to provide general information, but I can't diagnose specific conditions or confirm if your symptoms indicate something more serious. If you're experiencing severe symptoms , or prolonged illness, it's best to consult a doctor for proper evaluation and treatment.","['_', '_']","['""']"
Other Constipation Symptoms,"I cannot determine other constipation-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance","['_', '_']",[]
Other Cough Symptoms,"Cough can present with various symptoms depending on the underlying cause,I can't trigger symptoms what exactly you have so please consult the doctor for further treatment","['_', '_']",[]
Other Diarrhea Symptoms,"I Cannot determine other diarrhea-related symptoms. If you're experiencing severe or unusual symptoms, please consult your doctor for proper evaluation and guidance.","['_', '_']",[]
Other Fever Symptoms,If you feel like some other symptoms with fever or any difficulty in your symptoms please consult your physician,"['_', '_']",[]
Other Headache Symptoms,"Headaches can come with various symptoms depending on the type and cause,so if you feel any of other symptoms consult physician","['_', '_']",[]
Other Heat Waves Symptoms,"In addition to common heat wave symptoms, other signs to feel,please consult doctor immediately","['_', '_', '_']","['""']"
other illeness,"Iam providing some remedies for othre illeness like Piles,Migraine,fits please check them",['_'],[]
Other illeness Fits,coriander leaves or powder with hot water can helps for fits patient,"['_', '_']",[]
Other illeness Migraine,Mint leaves with hot water can helps to reduction of head ache(migraine) please check the severity and do accordingly,"['_', '_']","['(', ')']"
Other illeness Piles,lemon with milk immediate consumption  can helps for piles,"['_', '_']",[]
Other illeness Piles,take some Bitter guard powderand it  with butter milk,"['_', '_']",[]
other illeness Remedies,please check the remedies for other illeness,"['_', '_']",[]
Stress,let me know which type of services do you want?,[],[]
Stress Home Remedie,take 3 to 4 Tulasi leaves chew and swallow reduces stress and pressure and improves the energy,['_'],[]
Stress Remedies,Please let me know which type of remedies do you want?,['_'],[]
Stress Symptom Check,please check  if you have any of the  stress symptoms,"['_', '_']",[]
Stress yoga,"Chandra Bhedana Pranayama – This practice stimulates the parasympathetic nervous system, helping to relax both the brain and body, promoting a sense of calmness.

Chandra Nadi Pranayama – A cooling and soothing breathing technique that helps balance emotions and reduces stress.

Bhramari Pranayama – Encourages positive thinking by stimulating the amygdala and relaxing the hypothalamus, which helps in emotional regulation and mental calmness.

Sheetali Pranayama – Lowers core body temperature, providing a cooling effect that leaves the body feeling refreshed and relaxed.",['_'],"['–', '–', '–', '–']"
Vomitings,please let me know which type of services do you want?,[],[]
Vomitings Ayurvedic Remedies,"This remedie is useful for healing vomitings,Take equal amounts of cloves (lavangam), cumin seeds (jelakarra), cinnamon (dhalchinachakka), and cardamom. Add a little water and grind them into a paste. Mix this paste with honey and consume it for better health benefits.",['_'],"['(', ')', '(', ')', '(', ')']"
Vomitings Diet,"To support digestion and overall health, consume potassium-rich foods like bananas, fiber-rich foods, herbal teas, probiotics, and plain rice. Stay well-hydrated by drinking plenty of water and natural electrolytes such as coconut water",['_'],[]
Vomitings Home Remedies,"Take equal amounts of ginger and onion, grind them into a paste, and filter it to extract the liquid. Consume this liquid every 2 hours and observe the result.",['_'],[]
Vomitings Medication,"Domperidone tablets I.P.   Dose-10mg Cause-Domperidone  10 MG Tablet is an effective anti-emetic medicine used to relieve nausea and vomiting caused by delayed gastric emptying (the time it takes for food to empty from the stomach and enter the small intestine). It increases intestinal movements and facilitates the emptying of the bowel. It is used alone or in combination with other medicines for relieving nausea, vomiting and indigestion   2.Domperidone syrup - Helps with nausea and vomiting caused by delayed stomach emptying.",['_'],"['(', ')']"
Vomitings Naturopathy Remedies,"Take warm water mixed with salt and drink it quickly until your stomach feels full. This will induce vomiting within minutes, helping to relieve discomfort.",['_'],"['""', '""']"
Vomitings Remedies,Please let me know which type of remedies do you want?,['_'],[]
Vomitings Symptom Check,please check the  vomitings symptoms,"['_', '_']",[]
Welocme Intent,"Welcome to our MedicalBot, these are the service available in this bot.",['_'],[]
